Name,State,Enrollment
Alabama A & M University,AL,5098.0
University of Alabama at Birmingham,AL,13284.0
Amridge University,AL,251.0
University of Alabama in Huntsville,AL,7358.0
Alabama State University,AL,3495.0
The University of Alabama,AL,30725.0
Central Alabama Community College,AL,940.0
Athens State University,AL,2511.0
Auburn University at Montgomery,AL,3742.0
Auburn University,AL,24782.0
Birmingham-Southern College,AL,1048.0
Chattahoochee Valley Community College,AL,1107.0
South University-Montgomery,AL,337.0
Enterprise State Community College,AL,1336.0
Coastal Alabama Community College,AL,5217.0
Faulkner University,AL,1696.0
Gadsden State Community College,AL,3513.0
New Beginning College of Cosmetology,AL,57.0
George C Wallace Community College-Dothan,AL,3191.0
George C Wallace State Community College-Hanceville,AL,4303.0
George C Wallace State Community College-Selma,AL,942.0
Herzing University-Birmingham,AL,608.0
Huntingdon College,AL,838.0
Heritage Christian University,AL,71.0
J. F. Drake State Community and Technical College,AL,688.0
J F Ingram State Technical College,AL,400.0
Jacksonville State University,AL,6992.0
Jefferson State Community College,AL,6143.0
John C Calhoun State Community College,AL,6795.0
Lawson State Community College,AL,2779.0
University of West Alabama,AL,2310.0
Lurleen B Wallace Community College,AL,1129.0
Marion Military Institute,AL,314.0
Miles College,AL,1517.0
University of Mobile,AL,1112.0
University of Montevallo,AL,2184.0
Northwest-Shoals Community College,AL,2095.0
University of North Alabama,AL,5165.0
Northeast Alabama Community College,AL,1565.0
Oakwood University,AL,1353.0
Reid State Technical College,AL,254.0
Bishop State Community College,AL,1885.0
Samford University,AL,3604.0
Shelton State Community College,AL,4018.0
Snead State Community College,AL,1537.0
University of South Alabama,AL,8631.0
Spring Hill College,AL,989.0
Stillman College,AL,721.0
Talladega College,AL,1144.0
H Councill Trenholm State Community College,AL,1522.0
Troy University,AL,10916.0
Tuskegee University,AL,2184.0
United States Sports Academy,AL,68.0
Bevill State Community College,AL,2291.0
University of Alaska Anchorage,AK,7284.0
Alaska Bible College,AK,37.0
University of Alaska Fairbanks,AK,4108.0
University of Alaska Southeast,AK,999.0
Alaska Pacific University,AK,347.0
Alaska Vocational Technical Center,AK,259.0
Charter College,WA,2215.0
Alaska Career College,AK,317.0
Empire Beauty School-Tucson,AZ,138.0
Carrington College-Phoenix North,AZ,1281.0
Carrington College-Mesa,AZ,591.0
Carrington College-Tucson,AZ,517.0
Arizona Academy of Beauty,AZ,48.0
Miller-Motte College-Arizona Automotive Institute,AZ,398.0
Brookline College-Phoenix,AZ,1000.0
Arizona State University Campus Immersion,AZ,64216.0
Arizona Western College,AZ,7388.0
University of Arizona,AZ,36560.0
Central Arizona College,AZ,4388.0
Charles of Italy Beauty College,AZ,56.0
Cochise County Community College District,AZ,2922.0
Empire Beauty School-Chandler,AZ,43.0
Avalon Institute-Mesa,AZ,377.0
Eastern Arizona College,AZ,3187.0
Embry-Riddle Aeronautical University-Prescott,AZ,3015.0
The School of Architecture,AZ,
Glendale Community College,AZ,10528.0
Grand Canyon University,AZ,64210.0
GateWay Community College,AZ,3691.0
Mesa Community College,AZ,12167.0
Mohave Community College,AZ,2622.0
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,AZ,779.0
Dine College,AZ,1224.0
Northern Arizona University,AZ,23772.0
Northland Pioneer College,AZ,1124.0
Ottawa University-Phoenix,AZ,348.0
Phoenix College,AZ,6674.0
Pima Community College,AZ,13128.0
Pima Medical Institute-Tucson,AZ,2485.0
Pima Medical Institute-Albuquerque,NM,782.0
Prescott College,AZ,383.0
Refrigeration School Inc,AZ,1007.0
Rio Salado College,AZ,3824.0
Roberto-Venn School of Luthiery,AZ,12.0
Scottsdale Community College,AZ,4764.0
South Mountain Community College,AZ,2395.0
Arizona Christian University,AZ,1012.0
