Name,State,1996 Enrollment,1997 Enrollment,1998 Enrollment,1999 Enrollment,2001 Enrollment,2002 Enrollment,2003 Enrollment,2004 Enrollment,2005 Enrollment,2006 Enrollment,2007 Enrollment,2008 Enrollment,2009 Enrollment,2010 Enrollment,2011 Enrollment,2012 Enrollment,2013 Enrollment,2014 Enrollment,2015 Enrollment,2016 Enrollment,2017 Enrollment,2018 Enrollment,2019 Enrollment,2020 Enrollment,2021 Enrollment
360 Degrees Beauty Academy,TX,,,,,,,,,,,,,22.0,45.0,,,,,,,,,,,
4-States Academy of Cosmetology,OK,,,,,,,,,,26.0,34.0,29.0,52.0,30.0,,,,,,,,,,,
4-States Okmulgee Academy of Cosmetology,OK,24.0,23.0,23.0,18.0,,,,,,,,27.0,28.0,25.0,,,,,,,,,,,
A & W Healthcare Educators,LA,,,,,,,,,,,,,,23.0,36.0,40.0,48.0,40.0,20.0,,,,,,
A Better U Beauty Barber Academy,NM,,,,,,,,,,,,,,,,,,,,,,,,35.0,53.0
A'ARTS COLLEGE OF BEAUTY,OR,34.0,26.0,48.0,39.0,29.0,,,,,,,,,,,,,,,,,,,,
A.B.I. School of Barbering & Cosmetology of Chelsea Inc.,NY,,,,,84.0,111.0,140.0,159.0,147.0,102.0,119.0,141.0,133.0,125.0,69.0,60.0,,,,,,,,,
A.B.I. School of Barbering & Cosmetology of Tribeca Inc.,NY,,,,,,,,,,,69.0,84.0,60.0,64.0,9.0,,,,,,,,,,
A1 Business and Technical College,PR,323.0,319.0,81.0,319.0,255.0,385.0,218.0,320.0,,,,,,,,,,,,,,,,,
ABC Adult School,CA,,,,,,,,,,,,,,,,,,,,,,90.0,77.0,195.0,125.0
ABC Beauty Academy,TX,,,,,,,,,,,,,,23.0,34.0,48.0,35.0,30.0,72.0,,,33.0,28.0,28.0,19.0
ABC Beauty College Inc,AR,15.0,18.0,14.0,23.0,18.0,28.0,33.0,48.0,57.0,60.0,39.0,54.0,55.0,66.0,57.0,51.0,32.0,38.0,21.0,,,,,,
ABC SPA CITY BEAUTY AND BARBER COLLEGE,AR,,0.0,,,,,,,,,,,,,,,,,,,,,,,
ABCO Technology,CA,,,,,,,,,,,,,,,,,,,29.0,28.0,50.0,65.0,126.0,74.0,253.0
ACADEMIC WORLD OF COSMETOLOGY,AR,15.0,,,,,,,,,,,,,,,,,,,,,,,,
ACADEMY FOR CAREER EDUCATION-ACE BUSINESS SCHOOL,NY,268.0,110.0,,,,,,,,,,,,,,,,,,,,,,,
ACADEMY OF BARBERING,IN,37.0,36.0,,,,,,,,,,,,,,,,,,,,,,,
ACADEMY OF BEAUTY CULTURE,MO,15.0,,,,,,,,,,,,,,,,,,,,,,,,
ACADEMY OF BEAUTY CULTURE INC,IL,116.0,,,,,,,,,,,,,,,,,,,,,,,,
ACADEMY OF HAIR AND NAIL DESIGN,FL,,9.0,,,,,,,,,,,,,,,,,,,,,,,
ACADEMY OF HAIR DESIGN,OH,,0.0,72.0,33.0,,,,,,,,,,,,,,,,,,,,,
ACADEMY OF HAIR DESIGN,SC,126.0,77.0,,,,,,,,,,,,,,,,,,,,,,,
ACADEMY OF HAIR TECHNOLOGY,LA,54.0,,,,,,,,,,,,,,,,,,,,,,,,
ACADEMY OF HEALTH CAREERS,MI,292.0,,,,,,,,,,,,,,,,,,,,,,,,
ACADEMY OF MEDICAL AND BUSINESS CAREERS,NV,,,,,285.0,,,,,,,,,,,,,,,,,,,,
ACADEMY OF PROFESSIONAL DEVELOPMENT,NJ,24.0,23.0,,,,,,,,,,,,,,,,,,,,,,,
ACME BEAUTY COLLEGE,MT,31.0,,,,,,,,,,,,,,,,,,,,,,,,
ACT College,VA,246.0,330.0,356.0,382.0,449.0,536.0,595.0,459.0,482.0,679.0,650.0,498.0,481.0,393.0,676.0,,,,,,,,,,
ACTION CAREER TRAINING,TX,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ADAM & EVE COLLEGE OF COSMETOLOGY INC,MO,20.0,,,,,,,,,,,,,,,,,,,,,,,,
ADMIRAL PEARY AREA VOCATIONAL TECHNICAL SCHOOL,PA,,3.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
ADRIANS BEAUTY COLLEGE,CA,28.0,,,,,,,,,,,,,,,,,,,,,,,,
ADVANCE BEAUTY COLLEGE,SC,24.0,18.0,22.0,23.0,,,,,,,,,,,,,,,,,,,,,
